#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
318,Alvin Guzman,682630,682630,sa3008748,10376,ARI,OF,OF
319,Amador Arias,672457,672457,sa3003216,,SEA,SS,SS
320,Ambioris Tavarez,694222,694222,sa3019895,,ATL,SS,SS
321,Amed Rosario,642708,642708,15518,9500,LAD,SS,SS/OF
322,Amell Brazoban,683464,683464,sa3008869,,FA,OF,OF
323,Amilcar Chirinos,702847,702847,sa3017149,,HOU,SP,SP
324,Amir Garrett,607237,14375,14375,9253,CLE,RP,RP
325,Amos Willingham,686294,686294,26128,,WSH,RP,RP
326,Anderson Azor,698958,698958,sa3016016,,SF,SP,SP
327,Anderson De Los Santos,698945,698945,sa3015747,,BAL,3B,3B
328,Anderson Espinoza,659262,18593,18593,,SD,RP,RP
329,Anderson Machado,698999,698999,sa3015765,,OAK,3B,3B
330,Anderson Miller,663402,663402,sa857824,,LAD,OF,OF
331,Anderson Munoz,674468,674468,sa3007840,,NYY,SP,SP
332,Anderson Nova,800407,800407,sa3018553,,MIN,OF,OF
333,Anderson Rojas,699232,699232,sa3015818,,ARI,SS,SS
334,Anderson Sanchez,700325,700325,sa3015858,,FA,OF,OF
335,Anderson Severino,644429,644429,20582,,FA,RP,RP
336,Anderson Tejeda,660731,660731,19909,,FA,SS,SS
337,Andre Granillo,701552,701552,sa3016913,,STL,RP,RP
338,Andre Jackson,656578,656578,21298,11056,PIT,RP,RP
339,Andre Lipcius,686531,686531,sa3010401,11673,DET,2B,2B
340,Andre Nnebe,669939,669939,sa3011588,,FA,OF,OF
341,Andre Pallante,669467,669467,26108,11442,STL,RP,RP
342,Andre Scrubb,668687,668687,20329,11005,FA,RP,RP
343,Andrelton Simmons,592743,10847,10847,,FA,DH,2B/SS
344,Andres Alvarez,687019,687019,sa3010710,,PIT,SS,SS
345,Andres Angulo,660437,660437,sa872806,,FA,C,C
346,Andres Bonolis,805740,805740,sa3019639,,CHC,OF,OF
347,Andres Chaparro,665953,665953,sa916976,,NYY,3b,3b
348,Andres Gimenez,665926,665926,19950,10133,CLE,2B,2B/SS
349,Andres Guerra,662928,662928,sa873330,,FA,C,C
350,Andres Hernandez,800309,800309,sa3018510,,PHI,3B,3B
351,Andres Machado,600921,600921,14681,9753,WSH,RP,RP
352,Andres Melendez,678487,678487,sa3005523,,CLE,C,C
