#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
758,Bradley Brehmer,682017,682017,sa3020828,,BAL,SP,SP
759,Bradley Hanner,690440,690440,sa3010837,,CLE,RP,RP
760,Bradley Roney,605448,605448,sa598926,,FA,RP,RP
761,Bradley Zimmer,605548,605548,16221,,BOS,OF,OF
762,Bradley Zunica,650531,650531,sa875647,,FA,1B,1B
763,Brady Allen,680918,680918,sa3018098,,DET,OF,OF
764,Brady Hill,687984,687984,sa3020559,,COL,RP,RP
765,Brady House,691781,691781,sa3017694,,WSH,SS,SS
766,Brady Lail,621078,14707,14707,,FA,RP,RP
767,Brady McConnell,669381,669381,sa3010331,,KC,SS,SS
768,Brady Policelli,670149,670149,sa918279,,FA,C,C
769,Brady Puckett,657252,657252,sa829632,,MIA,RP,RP
770,Brady Singer,663903,663903,25377,10145,KC,SP,SP
771,Brady Smith,672280,672280,sa3015143,,FA,C,C
772,Brady Whalen,669714,669714,sa918278,,SF,1B,1B
773,Braeden Ogle,669180,669180,sa917989,10911,FA,RP,RP
774,Brahian Silva,691906,691906,sa3016753,,PHI,C,C
775,Braian Fernandez,678658,678658,sa3005751,,FA,OF,OF
776,Braiden Ward,685274,685274,sa3017332,,COL,OF,OF
777,Brailer Guerrero,806967,806967,,,TB,,
778,Brailyn Marquez,666622,666622,,10817,CHC,SP,SP
779,Brainer Bonaci,682900,682900,sa3008836,,BOS,SS,SS
780,Branden Boissiere,680998,680998,sa3017558,,WSH,1B,1B
781,Branden Fryman,670210,670210,sa3010853,,NYM,SS,SS
782,Branden Kline,571858,571858,14101,,FA,RP,RP
783,Branden Noriega,804447,804447,sa3020867,,CHC,SP,SP
784,Brando Mayea,806963,806963,sa3020679,,NYY,OF,OF
785,Brandol Mezquita,678841,678841,sa3006201,,ATL,OF,OF
786,Brandon Bailey,669064,669064,,,CHW,P,P
787,Brandon Barriera,702255,702255,,,TOR,P,P
788,Brandon Belt,474832,10264,10264,8019,TOR,1B,1B
789,Brandon Bielak,656232,656232,19866,11000,HOU,SP,SP
790,Brandon Birdsell,669361,669361,sa3020797,,CHC,SP,SP
791,Brandon Bossard,670192,670192,sa3015050,,CHW,2B,2B
792,Brandon Brennan,592165,13527,13527,9214,FA,RP,RP
